Tarih,Max_Sicaklik_C,Min_Sicaklik_C,Yagis_Miktari_mm
2022-09-28,26.5,18.0,0.5
2022-09-29,28.4,14.9,0.1
2022-09-30,30.1,15.1,0.0
2022-10-01,28.7,16.5,0.0
2022-10-02,34.7,16.0,14.3
2022-10-03,21.9,15.1,10.3
2022-10-04,21.1,13.7,4.6
2022-10-05,20.1,16.2,14.2
2022-10-06,19.6,14.6,3.9
2022-10-07,20.2,13.7,0.0
2022-10-08,20.4,15.7,3.4
2022-10-09,22.4,16.4,6.4
2022-10-10,21.7,15.4,2.5
2022-10-11,19.8,15.2,1.1
2022-10-12,19.8,11.2,0.2
2022-10-13,20.2,12.9,1.1
2022-10-14,20.0,12.1,0.1
2022-10-15,19.5,13.1,0.3
2022-10-16,19.9,15.6,4.1
2022-10-17,19.4,16.4,5.6
2022-10-18,19.5,16.4,3.9
2022-10-19,20.2,15.4,1.3
2022-10-20,17.5,13.8,11.0
2022-10-21,15.1,10.6,1.3
2022-10-22,17.0,8.0,1.4
2022-10-23,21.5,7.7,0.0
2022-10-24,19.4,11.0,1.3
2022-10-25,20.1,9.1,0.0
2022-10-26,23.6,8.7,0.0
2022-10-27,18.4,12.6,1.1
2022-10-28,16.8,11.1,1.1
2022-10-29,17.5,11.1,1.5
2022-10-30,18.1,7.6,0.0
2022-10-31,17.2,7.0,0.0
2022-11-01,15.2,11.2,3.0
2022-11-02,18.0,7.1,0.0
2022-11-03,19.0,7.4,0.0
2022-11-04,17.3,10.1,4.6
2022-11-05,21.9,7.8,0.0
2022-11-06,18.1,9.4,0.0
2022-11-07,18.1,10.8,2.9
2022-11-08,15.1,11.1,2.6
2022-11-09,14.8,9.6,0.0
2022-11-10,15.4,7.8,0.0
2022-11-11,16.9,6.2,0.1
2022-11-12,16.1,8.5,0.0
2022-11-13,16.9,6.4,0.0
2022-11-14,15.4,6.7,0.0
2022-11-15,16.1,6.8,0.3
2022-11-16,16.8,5.6,0.0
2022-11-17,20.5,4.1,0.0
2022-11-18,22.2,12.9,0.0
2022-11-19,25.3,11.4,0.0
2022-11-20,24.5,10.5,0.0
2022-11-21,21.0,14.9,0.0
2022-11-22,19.6,12.1,0.0
2022-11-23,21.3,8.2,0.2
2022-11-24,21.8,10.6,0.0
2022-11-25,17.2,10.8,13.5
2022-11-26,14.3,8.3,7.1
2022-11-27,13.9,6.3,0.0
2022-11-28,14.4,5.2,0.0
2022-11-29,15.4,4.7,0.0
2022-11-30,15.1,4.7,0.0
2022-12-01,16.9,4.8,0.0
2022-12-02,14.9,8.1,2.0
2022-12-03,15.5,7.1,0.8
2022-12-04,14.1,8.4,0.8
2022-12-05,13.8,4.8,0.3
2022-12-06,13.4,5.5,0.0
2022-12-07,16.1,3.8,0.0
2022-12-08,17.0,4.1,0.0
2022-12-09,17.5,3.5,0.0
2022-12-10,18.5,6.8,0.0
2022-12-11,17.9,10.7,0.0
2022-12-12,17.8,13.1,0.9
2022-12-13,20.0,10.9,1.1
2022-12-14,11.1,8.6,11.1
2022-12-15,16.2,4.8,0.6
2022-12-16,15.9,7.2,0.2
2022-12-17,20.5,7.1,0.0
2022-12-18,20.0,9.9,0.0
2022-12-19,13.3,5.6,15.7
2022-12-20,8.9,4.8,3.5
2022-12-21,10.3,1.2,0.0
2022-12-22,12.8,1.5,0.0
2022-12-23,14.0,1.8,0.0
2022-12-24,12.9,1.5,0.0
2022-12-25,13.2,5.1,0.1
2022-12-26,13.3,7.8,3.4
2022-12-27,13.9,2.0,0.6
2022-12-28,12.7,8.3,0.7
2022-12-29,11.1,3.0,0.1
2022-12-30,15.1,3.0,0.0
2022-12-31,16.0,4.9,0.0
2023-01-01,14.7,2.7,0.0
2023-01-02,14.5,1.0,0.0
2023-01-03,14.8,0.8,0.0
2023-01-04,12.7,-0.2,3.9
2023-01-05,13.8,4.2,2.3
2023-01-06,11.3,4.8,2.4
2023-01-07,9.1,3.2,2.9
2023-01-08,6.7,2.5,2.0
2023-01-09,9.1,-0.8,0.0
2023-01-10,13.1,-1.3,0.0
2023-01-11,16.0,-0.1,0.0
2023-01-12,15.2,2.3,0.0
